59149,72072,58720
94054,76174,32764
53029,58900,39347
81010,27179,18191
21491,87245,2272
32331,32513,94668
9845,86111,52729
3900,81543,813
14879,8206,77772
1776,79615,70786
99185,47744,62557
15606,75644,56180
97523,31215,53964
27340,15669,26890
51796,65928,96765
98097,24007,73627
2693,45993,9242
78536,37898,97195
17124,32639,33639
5959,55642,38890
16346,12936,28664
22473,72681,31649
95498,82507,49476
35541,38701,11092
43540,1827,38802
45529,19760,11467
81633,90150,4253
12239,96955,58835
98765,80457,38160
14621,51851,99259
98986,24234,58477
42047,32114,72628
82046,69676,88919
54370,48775,31871
62789,47655,34177
96351,58603,94819
82918,3941,67160
36159,97490,81810
29398,36746,26487
8831,85786,87639
41243,62168,20820
71625,29459,29725
1218,41335,58171
22399,34576,35666
75990,88367,28357
